WPC-ID;ARC_ON_CODE;ARC_ON_CODE
WB-M400 (A?WBM);ASWBM;AEWBM
WB-400L (A?WBML);ASWBML;AEWBML
WB-400P (A?WBP);ASWBP;AEWBP
WB-400/500L (A?WBPL);ASWBPL;AEWBPL
WB-W400 (A?WBW);ASWBW;AEWBW
WB-A350P (A?WBA);ASWBA;AEWBA
