THICKNESS;METH;TC_LTT;EART;SART;CORR;OF
1;1;T3D-7869N2;10;200;OFF;1
1.5;1;T3D-7870N2;10;200;OFF;1
2;1;T3D-7871N2;10;200;OFF;1
2.5;1;T3D-7872N2;10;200;OFF;1
3;1;T3D-7873N2;10;200;OFF;1
4;1;T3D-7874N2;10;200;OFF;1
5;1;T3D-7875N2;10;200;OFF;1
6;1;T3D-7876N2;10;200;OFF;1
8;1;T3D-7877N2;10;200;OFF;1
1;1;VA-1MM;10;200;OFF;1
2;1;VA-2MM;10;200;OFF;1
3;1;VA-3MM;10;200;OFF;1
4;1;VA-4MM;10;200;OFF;1
